Date,Adj Close,Close,High,Low,Open,Volume
2020-05-14,4273.1298828125,4273.1298828125,4313.259765625,4194.580078125,4294.009765625,127632000
2020-05-15,4277.6298828125,4277.6298828125,4335.77001953125,4255.18994140625,4314.97021484375,111236400
2020-05-18,4498.33984375,4498.33984375,4508.9501953125,4354.72998046875,4361.02978515625,119506400
2020-05-19,4458.16015625,4458.16015625,4536.06982421875,4421.10986328125,4536.06982421875,138767200
2020-05-20,4496.97998046875,4496.97998046875,4499.7900390625,4396.2001953125,4434.6201171875,107244100
2020-05-21,4445.4501953125,4445.4501953125,4498.080078125,4429.27001953125,4443.919921875,88243500
2020-05-22,4444.56005859375,4444.56005859375,4475.35009765625,4368.7998046875,4381.81982421875,99188200
2020-05-25,4539.91015625,4539.91015625,4539.91015625,4451.56005859375,4482.5400390625,65971900
2020-05-26,4606.240234375,4606.240234375,4619.83984375,4573.89013671875,4588.2998046875,140172500
2020-05-27,4688.740234375,4688.740234375,4711.990234375,4614.41015625,4621.77001953125,177960100
2020-05-28,4771.39013671875,4771.39013671875,4784.08984375,4701.52001953125,4718.10986328125,127442900
2020-05-29,4695.43994140625,4695.43994140625,4768.85009765625,4695.35986328125,4733.97998046875,167179700
2020-06-01,4762.77978515625,4762.77978515625,4782.02978515625,4721.6298828125,4776.72021484375,75978000
2020-06-02,4858.97021484375,4858.97021484375,4880.14990234375,4795.27978515625,4799.8798828125,126839400
2020-06-03,5022.3798828125,5022.3798828125,5026.4501953125,4909.990234375,4911.4501953125,160112800
2020-06-04,5011.97998046875,5011.97998046875,5052.75,4966.81982421875,4994.18017578125,138794600
2020-06-05,5197.7900390625,5197.7900390625,5199.64990234375,5060.919921875,5060.919921875,186841500
2020-06-08,5175.52001953125,5175.52001953125,5213.669921875,5137.2001953125,5159.2998046875,152914400
2020-06-09,5095.10986328125,5095.10986328125,5203.419921875,5053.2099609375,5187.08984375,160534800
